format_name,codes
CCHS2012_ONT_MH_LINK_ALD11UOA,0=NO INTERFERENCE; 1=1; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9
CCHS2012_ONT_MH_LINK_ALD_UOA,0=NO INTERFERENCE; 1=1; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9
CCHS2012_ONT_MH_LINK_AUDDWDFM,1=REGULAR DRINKER; 2=OCCASIO. DRINKER; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_AUDQ16FM,1=PAST 30 DAYS; 2=1 MTH TO 3 = 6 TO 12 MTHS; 4=MORE THAN 12 MTH; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_BIPDADFM,6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_CEXQ01FM,1=NEVER; 2=1 OR 2 TIMES; 3=3 TO 5 TIMES; 4=6 TO 10 TIMES; 5=&gt; 10 TIMES; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_DASQ01FM,1=NONE; 2=MILD; 3=MODERATE; 4=SEVERE; 5=EXTREME; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_DASSCRFM,999.6=NOT APPLICABLE; 999.7=DON'T KNOW; 999.8=REFUSAL; 999.9=NOT STATED
CCHS2012_ONT_MH_LINK_DAS_12FM,1=NONE; 2=MILD; 3=MODERATE; 4=SEVERE; 5=EXTREME; 6=NOT APPLICABLE; 97=DON'T KNOW; 98=REFUSAL; 99=NOT STATED
CCHS2012_ONT_MH_LINK_DAY2DFM,96=NOT APPLICABLE; 97=DON'T KNOW; 98=REFUSAL; 99=NOT STATED
CCHS2012_ONT_MH_LINK_DAY3DFM,996=NOT APPLICABLE; 997=DON'T KNOW; 998=REFUSAL; 999=NOT STATED
CCHS2012_ONT_MH_LINK_DEP38AFM,1=PAST MONTH; 2=1 TO 6 MONTHS; 3=MORE 6 MONTHS; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_DEP_65A,1=AS MUCH AS USUAL; 2=NOT AS MUCH; 3=ONLY A LITTLE; 4=NOT AT ALL; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_DEP_DIS,1=MILD; 2=MODERATE; 3=SEVERE; 4=VERY SEVERE; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_DEP_HOUR,1=LESS ONE HOUR; 2=1 TO 3 HOURS; 3=3 TO 5 HOURS; 4=&gt;= 5 HOURS; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_DHH_DWE,1=SINGLE DETACHED; 10=OTHER; 2=DOUBLE; 3=ROW OR TERRACE; 4=DUPLEX; 5=LOW-RISE; 6=HIGH-RISE; 7=INSTITUTION; 8=HOTEL / CAMP; 9=MOBILE HOME
CCHS2012_ONT_MH_LINK_DIQC01FM,1=NEVER; 2=ONCE A WHILE; 3=FAIRLY OFTEN; 4=VERY OFTEN; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_DOLL4FM,0=NONE; 9996=NOT APPLICABLE; 9997=DON'T KNOW; 9998=REFUSAL; 9999=NOT STATED
CCHS2012_ONT_MH_LINK_DVCMA6FM,0=NO CMA ASSIGNED; 1=ST. JOHN'S; 205=HALIFAX; 310=SAINT JOHN; 408=SAGUENAY; 421=QUEBEC; 433=SHERBROOKE; 442=TROIS-RIVIÈRES; 462=MONTRÉAL; 505=OTTAWA-GATINEAU
CCHS2012_ONT_MH_LINK_EDUQ4AFM,1=NO POST-SECOND.; 2=TRADES DIPLOMA; 3=DIPLOMA- COLLEGE; 4=CERT. 5 = BACH DEGREE; 6=UNIV. DEG &gt; BACH; 96=NOT APPLICABLE; 97=DON'T KNOW; 98=REFUSAL; 99=NOT STATED
CCHS2012_ONT_MH_LINK_EPIS2NUM,96=NOT APPLICABLE; 97=DON'T KNOW; 98=REFUSAL; 99=NOT STATED
CCHS2012_ONT_MH_LINK_EPIS3NUM,996=NOT APPLICABLE; 997=DON'T KNOW; 998=REFUSAL; 999=NOT STATED
CCHS2012_ONT_MH_LINK_EPIS4NUM,9996=NOT APPLICABLE; 9997=DON'T KNOW; 9998=REFUSAL; 9999=NOT STATED
CCHS2012_ONT_MH_LINK_FM101AFM,1=YES; 2=NO; 3=NO FAM. MEMB.; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_FMI01BFM,1=ONE; 2=TWO; 3=3 OR MORE; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_GAD051FM,996=NOT APPLICABLE; 997=DON'T KNOW; 998=REFUSAL; 999=NOT STATED
CCHS2012_ONT_MH_LINK_GAD27_4A,1=DAYS; 2=WEEKS; 3=MONTHS; 4=YEARS; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_GADDC2FM,6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_GAD_04FM,1=OFTEN; 2=SOMETIMES; 3=RARELY; 4=NEVER; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_GAD_05FM,1=MONTHS; 2=YEARS; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_GAD_15FM,1=NONE; 2=MILD; 3=MODERATE; 4=SEVERE; 5=VERY SEVERE; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_GAD_17F,1=NOT AT ALL; 2=A LITTLE; 3=SOME; 4=A LOT; 5=EXTREMELY; 6=NOT APPLICABLE; 7=DON’T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_GAD_17FM,1=NOT AT ALL; 2=A LITTLE; 3=SOME; 4=A LOT; 5=EXTREMELY; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
