"cchs_uid","year","cycle","temporal_type","doc_type","category","language","is_subsample","subsample","filename","canonical_filename","local_path","file_size"
"cchs-2005s-m-dd-fr-pdf-04","2005","3.1","single","master","data-dictionary","FR",TRUE,"Sub-sample 3","French Data Dictionary (Freqs).pdf","cchs_2005s_dd_m_fr_1_v1.pdf","cchs-osf-docs/2005/3.1/Master/Docs/Sub-sample 3/French Data Dictionary (Freqs).pdf",1766077
"cchs-2007d-m-dd-en-pdf-01","2007","24-Month","dual","master","data-dictionary","EN",FALSE,"","CCHS_2007-2008_DataDictionary_Freq.pdf","cchs_2007d_dd_m_en_1_v1.pdf","cchs-osf-docs/2007/24-Month/Master/Docs/CCHS_2007-2008_DataDictionary_Freq.pdf",3064240
"cchs-2009s-m-dd-en-pdf-01","2009","12-Month","single","master","data-dictionary","EN",FALSE,"","CCHS_2009_DataDictionary_Freq.pdf","cchs_2009s_dd_m_en_1_v1.pdf","cchs-osf-docs/2009/12-Month/Master/Docs/CCHS_2009_DataDictionary_Freq.pdf",2678562
"cchs-2009s-m-dd-en-pdf-02","2009","12-Month","single","master","data-dictionary","EN",TRUE,"SS","CCHS_2009_DataDictionary_Freq_SS1.pdf","cchs_2009s_dd_m_en_1_v1.pdf","cchs-osf-docs/2009/12-Month/Master/Docs/Sub-sample/CCHS_2009_DataDictionary_Freq_SS1.pdf",1339474
"cchs-2010s-m-dd-en-pdf-01","2010","12-Month","single","master","data-dictionary","EN",FALSE,"","CCHS_2010_DataDictionary_Freqs.pdf","cchs_2010s_dd_m_en_1_v1.pdf","cchs-osf-docs/2010/12-Month/Master/Docs/CCHS_2010_DataDictionary_Freqs.pdf",3552708
"cchs-2011s-m-dd-en-pdf-01","2011","12-Month","single","master","data-dictionary","EN",FALSE,"","CCHS_2011_DataDictionary_Freqs.pdf","cchs_2011s_dd_m_en_1_v1.pdf","cchs-osf-docs/2011/12-Month/Master/Docs/CCHS_2011_DataDictionary_Freqs.pdf",3106168
"cchs-2011s-m-dd-en-pdf-02","2011","12-Month","single","master","data-dictionary","EN",TRUE,"SS","CCHS_2011_DataDictionary_Freqs.pdf","cchs_2011s_dd_m_en_1_v1.pdf","cchs-osf-docs/2011/12-Month/Master/Docs/Sub-sample/CCHS_2011_DataDictionary_Freqs.pdf",1567695
"cchs-2012s-m-dd-en-pdf-01","2012","12-Month","single","master","data-dictionary","EN",FALSE,"","CCHS_2012_DataDictionary_Freqs.pdf","cchs_2012s_dd_m_en_1_v1.pdf","cchs-osf-docs/2012/12-Month/Master/Docs/CCHS_2012_DataDictionary_Freqs.pdf",3259620
"cchs-2013s-m-dd-en-pdf-01","2013","12-Month","single","master","data-dictionary","EN",FALSE,"","CCHS_2013_DataDictionary_Freqs.pdf","cchs_2013s_dd_m_en_1_v1.pdf","cchs-osf-docs/2013/12-Month/Master/Docs/CCHS_2013_DataDictionary_Freqs.pdf",3016966
"cchs-2013s-m-dd-en-pdf-02","2013","12-Month","single","master","data-dictionary","EN",TRUE,"SS","CCHS_2013_DataDictionary_Freqs.pdf","cchs_2013s_dd_m_en_1_v1.pdf","cchs-osf-docs/2013/12-Month/Master/Docs/Sub-sample/CCHS_2013_DataDictionary_Freqs.pdf",1591060
