Library: CCHS Member: 01. CCHS 2000-2001 Canadian Community Health Survey
Back Search    Search
Variable Name	Description	Type
SDCAGLNG	Language/respondent can converse (D, G)	Num8
SDCAGRAC	Cultural / racial origin - (D, G)	Num8
SDCAGRES	Length/time in Canada since imm. (D, G)	Num8
SFEADE1	Self-esteem scale - (D)	Num8
SMKA_01A	Smoked >=100 cigarettes - former smokers	Num8
SMKA_01B	Ever smoked whole cigarette	Num8
SMKA_05B	# cigarettes per day (occasional smoker)	Num8
SMKA_05C	# days smoked at least 1 cigarette	Num8
SMKA_05D	Ever smoked daily	Num8
SMKA_06A	When stopped smoking (never daily)	Num8
SMKA_09A	When stopped (former daily)	Num8
SMKA_200	Household member smokes inside house	Num8
SMKA_202	Type of smoker	Num8
SMKA_204	# cigarettes per day (daily smoker)	Num8
SMKA_208	# cigarettes per day (former daily)	Num8
SMKA_300	Cigarettes - how obtained	Num8
SMKADSTY	Type of smoker - (D)	Num8
SMKADYCS	Number of years smoked - (D)	Num8
SMKAG01C	Age - smoked first whole cigarette - (G)	Num8
SMKAG203	Age started smoking daily - (G)	Num8
SMKAG207	Age started smoking daily - (G)	Num8
SPRA_1	Freq - attends religious services/ meet	Num8
SPRA_2	Spiritual values or faith - importance	Num8
SPRA_3	Self-perceived spirituality	Num8
SSMADAFF	Affection - MOS subscale - (D)	Num8
SSMADEMO	Emot./info. support - MOS subscale - (D)	Num8
SSMADSOC	Positive social interaction - MOS - (D)	Num8
SSMADTNG	Tangible social support - MOS - (D)	Num8
SUIA_1	Has considered suicide - lifetime	Num8
SUIA_2	Has considered suicide - past 12 months	Num8
SXBA_1	Ever had sexual intercourse	Num8
SXBA_3	Had sexual intercourse in past 12 months	Num8
SXBA_5	Relationship lasted 12 months or longer	Num8
SXBA_6	Relationships lasted less than 12 months	Num8
SXBA_7	Condom use - freq - relat < 12 months	Num8
SXBA_7A	Condom use - last time	Num8
TALA_1	Smoked cigars	Num8
TALA_2	Smoked a pipe	Num8
TALA_3	Used snuff	Num8
TALA_4	Used chewing tobacco	Num8
TWDA_1	Stayed in bed - illness or injury	Num8
TWDA_3	Reduced activities - illness or injury	Num8
TWDA_5	Has regular medical doctor	Num8
TWDADDDY	Total number of disability days - (D)	Num8
UPEA_02A	Freq./in-line skating helmet use	Num8
UPEA_02B	Freq./wear wrist guards	Num8
UPEA_02C	Freq./wear elbow pads	Num8
UPEA_02D	Freq./wear knee pads	Num8
UPEA_101	Freq./bike helmet use	Num8
UPEA_103	Freq./skiing/boarding helmet use	Num8
WSTADALL	Work stress - all items - (D)	Num8
WSTADAUT	Work stress - authority - (D)	Num8
WSTADJIN	Work stress - job Insecurity - (D)	Num8
WSTADPHY	Work stress - physical exertion - (D)	Num8
WSTADPSY	Work stress - psycholog. demands - (D)	Num8
WSTADSKI	Work stress - skill discretion - (D)	Num8
WSTADSOC	Work stress - social Support - (D)	Num8
WTSAM	Sampling weight - pumf weight	Num8
Number of variables: 614
