Library: CCHS Member: 01. CCHS 2000-2001 Canadian Community Health Survey
Back Search    Search
Variable Name	Description	Type
CIHA_2	Most important change to improve health	Num8
CIHA_3	Thinks should do something - imp. hlth.	Num8
CIHA_4	Most important thing to improve health	Num8
CIHA_5	Barrier to improving health	Num8
CIHA_6A	Barrier - lack will power	Num8
CIHA_6B	Barrier - lack of time	Num8
CIHA_6C	Barrier - too tired	Num8
CIHA_6D	Barrier - too difficult	Num8
CIHA_6E	Barrier - too costly	Num8
CIHA_6F	Barrier - too stressed	Num8
CIHA_6G	Barrier - disab./health prob.	Num8
CIHA_6H	Barrier - other	Num8
CIHA_7	Intending to improve health - next year	Num8
CIHA_8A	Health improvement - more exercise	Num8
CIHA_8B	Health improvement - lose weight	Num8
CIHA_8C	Health improvement - eating habits	Num8
CIHA_8D	Health improvement - quit smoking	Num8
CIHA_8E	Health improvement - smoke reduct.	Num8
CIHA_8F	Health improvement - manage stress	Num8
CIHA_8G	Health improvement - reduce stress	Num8
CIHA_8H	Health improvement - take vitamins	Num8
CIHA_8I	Health improvement - other	Num8
CMHA_01K	Consulted mental health professional	Num8
CMHA_1MA	Consulted m. h. prof. - fam. doc.	Num8
CMHA_1MB	Consulted m. h. prof. - psychiatrist	Num8
CMHA_1MC	Consulted m. h. prof. - psychologist	Num8
CMHA_1MD	Consulted m. h. prof. - nurse	Num8
CMHA_1ME	Consulted m. h. prof. - social worker	Num8
CMHA_1MF	Consulted m. h. prof. - other	Num8
CMHAG01L	Consulted m. h. prof. - times (G)	Num8
DENA_130	Visited dentist	Num8
DENA_132	Last time visited dentist	Num8
DENA_36A	No dental visit - haven't got. around it	Num8
DENA_36B	No dental vis. - resp. didn't think nec.	Num8
DENA_36C	No dental vis. - dent. didn't think nec.	Num8
DENA_36D	No dental visit - pers./family respons.	Num8
DENA_36E	No dental visit - not av. when requ.	Num8
DENA_36F	No dental visit - not available in area	Num8
DENA_36G	No dental visit - waiting time too long	Num8
DENA_36H	No dental visit - transportation prob.	Num8
DENA_36I	No dental visit - language problem	Num8
DENA_36J	No dental visit - cost	Num8
DENA_36K	No dental visit - didn't know where	Num8
DENA_36L	No dental visit - fear	Num8
DENA_36M	No dental visit - wears dentures	Num8
DENA_36N	No dental visit - other reason	Num8
DHHA_OWN	Dwelling - owned by a member of hsld	Num8
DHHA_SEX	Sex	Num8
DHHAG611	No. persons 6-11 years/in hhld - (D, G)	Num8
DHHAGAGE	Age - (G)	Num8
DHHAGBED	Dwelling - number of bedrooms - (D, G)	Num8
DHHAGL12	No. pers. < 12 years old in hhld - (D,G)	Num8
DHHAGLE5	No. pers. <= 5 years old in hhld - (D,G)	Num8
DHHAGLVG	Living arrangement/selected resp. (D, G)	Num8
DHHAGMS	Marital status - (G)	Num8
DISADCH	Chronicity Distress Impair. Scale - (D)	Num8
DISADDS	Distress Scale - (D)	Num8
DPSADMT	Specific month when felt depressed - (D)	Num8
DPSADPP	Depr. Scale - Predicted Prob.. - (D)	Num8
DPSADSF	Depr. Scale - Short Form Score - (D)	Num8
DPSADWK	Number of weeks felt depressed - (D)	Num8
DRGA_1A	Medication - pain relievers	Num8
DRGA_1B	Medication - tranquilizers	Num8
DRGA_1C	Medication - diet pills	Num8
DRGA_1D	Medication - antidepressants	Num8
