"variable_name","length","position","label","question_text","universe","note","n_categories"
"VERDATE","8.0","1","Date of file creation","","All respondents","Format = YYYYMMDD","0"
"REFPER","13.0","9","Reference period","","All respondents","Reference period during which data included in this file have been collected.","0"
"SAMPLEID","24.0","22","Record identifier","","All respondents","Unique number to identify dwelling (area frame) or child (CCB frame).","0"
"INSTANCE","2.0","46","Person identifier of selected respondent - health interview","","All respondents","","0"
"COLMODE","1.0","48","Collection mode - 18+","","All respondents","","4"
"COLMODEY","1.0","49","Collection mode - 12-17 (youth respondents)","","All respondents","","3"
"COLMODEP","1.0","50","Collection mode - 12-17 (PMK respondents)","","All respondents","","4"
"COL_LANG","1.0","51","Collection language","","All respondents","","2"
"GEO_PRV","2.0","52","Province of residence of respondent","","All respondents","","10"
"GEODVPC","6.0","54","Postal code - (D)","","See documentation on derived variables.","Due to the high number of categories, frequencies are not shown for this variable. Due to missing or incorrect reporting, the postal code variable is imputed from a donor. See derived variables documentation for more information. Note that while the postal code variable is available on the data files for analysis, no aggregate data should be disseminated at this level of geography.","0"
"GEODVD16","8.0","60","2016 Census dissemination area (DA) - (D)","","See documentation on derived variables.","Due to the high number of categories, frequencies are not shown for this variable.","0"
"GEODVCSD","7.0","68","2016 Census subdivision (CSD) - (D)","","See documentation on derived variables.","Due to the high number of categories, frequencies are not shown for this variable.","0"
"GEODVFED","5.0","75","2016 Census federal electoral district (FED) - (D)","","See documentation on derived variables.","Due to the high number of categories, frequencies are not shown for this variable.","0"
"GEODVCD","4.0","80","2016 Census division (CD) - (D)","","See documentation on derived variables.","Due to the high number of categories, frequencies are not shown for this variable.","0"
"GEODVCMA","3.0","84","2016 Census metropolitan area (CMA) - (D)","","See documentation on derived variables.","","36"
"GEODVCA","3.0","87","2016 Census agglomeration (CA) - (D)","","See documentation on derived variables.","","0"
"GEODVSAT","3.0","90","Statistical area classification type (SAT) - (D)","","See documentation on derived variables.","","7"
"GEODVHR4","4.0","93","Health region - (D)","","See documentation on derived variables.","","104"
"GEODVP16","2.0","97","Peer group 2016 - (D)","","See documentation on derived variables.","","8"
"GEODVUR","2.0","99","Population centre or rural area type - (D)","","See documentation on derived variables.","","6"
"GEODVUR2","1.0","101","Population centre or rural area type - grouped - (D)","","See documentation on derived variables.","","2"
"GEODVPSZ","1.0","102","Population centre or rural area classification - (D)","","See documentation on derived variables.","","4"
"GEODVBHA","4.0","103","British Columbia Health Authority (BCHA) - (D)","","See documentation on derived variables.","Due to the high number of categories, frequencies are not shown for this variable.","0"
"GEODVHCS","4.0","107","Ontario home and community care support services (HCCSS) - (D)","","See documentation on derived variables.","Due to the high number of categories, frequencies are not shown for this variable.","0"
"GEODVSHC","6.0","111","Ontario HCCSS sub-region - (D)","","See documentation on derived variables.","Due to the high number of categories, frequencies are not shown for this variable.","0"
"GEODVASZ","6.0","117","Alberta subzone - (D)","","See documentation on derived variables.","Due to the high number of categories, frequencies are not shown for this variable.","0"
"SAM_CP","6.0","123","Sampled collection period","","All respondents","The values represent the year and the beginning month of each collection period based on as planned for the 2022 collection. However, the start of collection was delayed and started in February rather than January. To accommodate the missed collection, the first period was extended to May and overlaps the second period. Data for youth aged 12 to 17 were not collected in the second collection period of 2022, meaning that one-third of the youth population is represented in each of the other three collection periods. Analysis by collection period (SAM_CP) or by month of interview (ADM_MOI) is not recommended for the population aged 12 and over. See the user’s guide for more details.","4"
"ADM_YOI","4.0","129","Year of interview","","All respondents","","1"
"ADM_MOI","2.0","133","Month of interview","","All respondents","Data for youth aged 12 to 17 were not collected in the second collection period of 2022, meaning that one-third of the youth population is represented in each of the other three collection periods. Analysis by collection period (SAM_CP) or by month of interview (ADM_MOI) is not recommended for the population aged 12 and over. See the user’s guide for more details.","11"
"ADM_DOI","2.0","135","Day of interview","","All respondents","","1"
"SAMDVLNK","1.0","137","Permission to link data - (D)","","All respondents","See documentation on derived variables.","2"
"SAMDVSHR","1.0","138","Permission to share data - (D)","","All respondents","See documentation on derived variables.","3"
"DHHDVHSZ","2.0","139","Household size - (D)","","See documentation on derived variables.","","2"
"DHHDVLVG","2.0","141","Living / family arrangement of selected respondent - (D)","","See documentation on derived variables.","","11"
"DHHDV611","2.0","143","Number of persons in household between 6 and 11 years of age - (D)","","See documentation on derived variables.","","2"
"DHHDVOKD","2.0","145","Number of persons in household 16 or 17 years of age - (D)","","See documentation on derived variables.","","2"
"DHHDVL12","2.0","147","Number of persons in household less than 12 years of age - (D)","","See documentation on derived variables.","","2"
"DHHDVYKD","2.0","149","Number of persons in household less than 16 years of age - (D)","","See documentation on derived variables.","","2"
"DHHDVLE5","2.0","151","Number of persons in household 5 years old or less - (D)","","See documentation on derived variables.","","2"
"DHHDVA65","2.0","153","Number of persons in household aged 65 and older - (D)","","See documentation on derived variables.","","2"
"DHHDVAOS","3.0","155","Age of spouse - (D)","","See documentation on derived variables.","","2"
"DHHDVL18","2.0","158","Number of persons in household less than 18 years of age - (D)","","See documentation on derived variables.","","2"
"PROXYSEX","1.0","160","Respondent gender and whether interview conducted by proxy","","All respondents","","4"
"DWL_01A","1.0","161","Dwelling ownership - own or rent","Is this dwelling owned by a member of this household?","All respondents","","3"
"ED_05","2.0","162","Highest certificate, diploma or degree completed","What is this person’s highest certificate, diploma or degree completed? [First name] [Last name], [Age]","All respondents","","8"
"EDDVR3","1.0","164","Highest level of education - respondent, 3 levels - (D)","","See documentation on derived variables.","","4"
"EDDVH3","1.0","165","Highest level of education - household, 3 levels - (D)","","See documentation on derived variables.","","4"
"AGE_01A","4.0","166","Year of birth","What is [your / respondent name] date of birth? Year","All respondents","","0"
"AGE_01B","2.0","170","Month of birth","What is [your / respondent name] date of birth? Month","All respondents","","0"
"AGE_01C","2.0","172","Day of birth","What is [your / respondent name] date of birth? Day","All respondents","","0"
"AWCAGE","3.0","174","Age","","All respondents","","1"
"DHH_SEX","1.0","177","Sex at birth","","All respondents","","2"
"GDRA_10","1.0","178","Gender","What is your gender?","All respondents","The ’Gender diverse’ category includes persons reporting a gender other than male or female, persons reporting being unsure of their gender, persons reporting being both male and female, or neither male nor female. For this question, write-in responses were coded into one of the existing listed categories if the write-in information duplicated a listed category.","4"
"GENDER_2","1.0","179","Gender - imputed","","All respondents","Men+ includes men (and/or boys), as well as some non-binary persons. Women+ includes women (and/or girls), as well as some non-binary persons.","2"
"DOMAC","1.0","180","Main activity (1) - Inclusion Flag - (F)","","All respondents","","1"
"MAC_05","1.0","181","Main activity - worked at job / business - 12 mo","In the past 12 months, was your main activity working at a job or business?","Respondents aged 15 to 75 with DOMAC = 1","","4"
"MA_02","2.0","182","Main activity - 12 mo","During the past 12 months, what was your main activity?","Respondents aged 15 to 75 with DOMAC = 1 and who answered MAC <> 1","If a respondent is aged less than 15, the variable MA_02 was given the value of 2. For this question, write-in responses were coded into one of the existing listed categories if the write-in information duplicated a listed category.","11"
"MA_03","1.0","184","Worked at job / business - 7 d","In the past 7 days, did you work at a job or business?","Respondents aged 15 to 75 with DOMAC = 1 and who answered MAC <> 1","","4"
"DOEDC","1.0","185","School attendance - Inclusion Flag - (F)","","All respondents","","1"
"EDC_10","1.0","186","Currently attending school / college / CEGEP / university","Are you currently attending a school, college, CEGEP or university?","Respondents with DOEDC = 1","For respondents aged less than 15, the variable EDC_10 was coded with the value of 1.","3"
"EDC_20","1.0","187","Student status","Are you enrolled as a full-time or part-time student? Each educational institution classifies students as full-time or part-time depending on the type of program, and the number of courses, credits or hours of instruction.","Respondents who answered EDC_10 = 1","For respondents aged less than 15, the variable EDC_20 was coded with the value of 1.","4"
"DOGEN","1.0","188","General health - Inclusion Flag - (F)","","All respondents","","1"
"GEN_01","1.0","189","Perceived health","In general, how is your health?","Respondents with DOGEN = 1","","6"
"GEN_05","1.0","190","Perceived mental health","In general, how is your mental health?","Respondents with DOGEN = 1 et PROXYSEX = (1, 2)","","6"
"GEN_10","1.0","191","Perceived life stress","Thinking about the amount of stress in your life, how would you describe most of your days?","Respondents with DOGEN = 1","","6"
"GEN_15","1.0","192","Perceived stress at work","How would you describe most days at work?","Respondents with DOGEN = 1 and DV_WORK12 = 1 and PROXYSEX = (1, 2)","DV_WORK12 indicates if the main activity of the respondent (aged 15 to 75), in the past 12 months, was working at a job or business (MAC_05 = 1).","7"
"GEN_20","1.0","193","Sense of belonging to local community","How would you describe your sense of belonging to your local community?","Respondents with DOGEN = 1","","5"
"DOLSM","1.0","194","Life satisfaction measures - Inclusion Flag - (F)","","All respondents","","1"
"LSM_01","2.0","195","Satisfaction with life in general","Using a scale of 0 to 10, where 0 means ""Very dissatisfied"" and 10 means ""Very satisfied"", how do you feel about your life as a whole right now?","Respondents with DOLSM = 1 and PROXYSEX = (1, 2)","","12"
